"","center","Beta","mu_ID","mu_DS","rho","eta","N","loglik"
"294",192529,2.48275862068965e-07,0.0103448275862069,0.75,1,1,192529,NA
"295",1.947758e-07,2.62068965517241e-07,0.0103448275862069,0.75,1,1,192529,NA
"296",0.166666666666667,2.62068965517241e-07,0.0103448275862069,0.75,1,1,192529,NA
"297",0.75,2.62068965517241e-07,0.0103448275862069,0.75,1,1,192529,NA
"298",1,2.62068965517241e-07,0.0103448275862069,0.75,1,1,192529,NA
"299",1,2.62068965517241e-07,0.0103448275862069,0.75,1,1,192529,NA
"300",192529,2.62068965517241e-07,0.0103448275862069,0.75,1,1,192529,NA
"301",1.947758e-07,2.75862068965517e-07,0.0103448275862069,0.75,1,1,192529,NA
"302",0.166666666666667,2.75862068965517e-07,0.0103448275862069,0.75,1,1,192529,NA
"303",0.75,2.75862068965517e-07,0.0103448275862069,0.75,1,1,192529,NA
"304",1,2.75862068965517e-07,0.0103448275862069,0.75,1,1,192529,NA
"305",1,2.75862068965517e-07,0.0103448275862069,0.75,1,1,192529,NA
"306",192529,2.75862068965517e-07,0.0103448275862069,0.75,1,1,192529,NA
"307",1.947758e-07,2.89655172413793e-07,0.0103448275862069,0.75,1,1,192529,NA
"308",0.166666666666667,2.89655172413793e-07,0.0103448275862069,0.75,1,1,192529,NA
"309",0.75,2.89655172413793e-07,0.0103448275862069,0.75,1,1,192529,NA
"310",1,2.89655172413793e-07,0.0103448275862069,0.75,1,1,192529,NA
"311",1,2.89655172413793e-07,0.0103448275862069,0.75,1,1,192529,NA
"312",192529,2.89655172413793e-07,0.0103448275862069,0.75,1,1,192529,NA
"313",1.947758e-07,3.03448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"314",0.166666666666667,3.03448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"315",0.75,3.03448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"316",1,3.03448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"317",1,3.03448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"318",192529,3.03448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"319",1.947758e-07,3.17241379310345e-07,0.0103448275862069,0.75,1,1,192529,NA
"320",0.166666666666667,3.17241379310345e-07,0.0103448275862069,0.75,1,1,192529,NA
"321",0.75,3.17241379310345e-07,0.0103448275862069,0.75,1,1,192529,NA
"322",1,3.17241379310345e-07,0.0103448275862069,0.75,1,1,192529,NA
"323",1,3.17241379310345e-07,0.0103448275862069,0.75,1,1,192529,NA
"324",192529,3.17241379310345e-07,0.0103448275862069,0.75,1,1,192529,NA
"325",1.947758e-07,3.31034482758621e-07,0.0103448275862069,0.75,1,1,192529,NA
"326",0.166666666666667,3.31034482758621e-07,0.0103448275862069,0.75,1,1,192529,NA
"327",0.75,3.31034482758621e-07,0.0103448275862069,0.75,1,1,192529,NA
"328",1,3.31034482758621e-07,0.0103448275862069,0.75,1,1,192529,NA
"329",1,3.31034482758621e-07,0.0103448275862069,0.75,1,1,192529,NA
"330",192529,3.31034482758621e-07,0.0103448275862069,0.75,1,1,192529,NA
"331",1.947758e-07,3.44827586206897e-07,0.0103448275862069,0.75,1,1,192529,NA
"332",0.166666666666667,3.44827586206897e-07,0.0103448275862069,0.75,1,1,192529,NA
"333",0.75,3.44827586206897e-07,0.0103448275862069,0.75,1,1,192529,NA
"334",1,3.44827586206897e-07,0.0103448275862069,0.75,1,1,192529,NA
"335",1,3.44827586206897e-07,0.0103448275862069,0.75,1,1,192529,NA
"336",192529,3.44827586206897e-07,0.0103448275862069,0.75,1,1,192529,NA
"337",1.947758e-07,3.58620689655172e-07,0.0103448275862069,0.75,1,1,192529,NA
"338",0.166666666666667,3.58620689655172e-07,0.0103448275862069,0.75,1,1,192529,NA
"339",0.75,3.58620689655172e-07,0.0103448275862069,0.75,1,1,192529,NA
"340",1,3.58620689655172e-07,0.0103448275862069,0.75,1,1,192529,NA
"341",1,3.58620689655172e-07,0.0103448275862069,0.75,1,1,192529,NA
"342",192529,3.58620689655172e-07,0.0103448275862069,0.75,1,1,192529,NA
"343",1.947758e-07,3.72413793103448e-07,0.0103448275862069,0.75,1,1,192529,NA
"344",0.166666666666667,3.72413793103448e-07,0.0103448275862069,0.75,1,1,192529,NA
"345",0.75,3.72413793103448e-07,0.0103448275862069,0.75,1,1,192529,NA
"346",1,3.72413793103448e-07,0.0103448275862069,0.75,1,1,192529,NA
"347",1,3.72413793103448e-07,0.0103448275862069,0.75,1,1,192529,NA
"348",192529,3.72413793103448e-07,0.0103448275862069,0.75,1,1,192529,NA
"349",1.947758e-07,3.86206896551724e-07,0.0103448275862069,0.75,1,1,192529,NA
"350",0.166666666666667,3.86206896551724e-07,0.0103448275862069,0.75,1,1,192529,NA
"351",0.75,3.86206896551724e-07,0.0103448275862069,0.75,1,1,192529,NA
"352",1,3.86206896551724e-07,0.0103448275862069,0.75,1,1,192529,NA
"353",1,3.86206896551724e-07,0.0103448275862069,0.75,1,1,192529,NA
"354",192529,3.86206896551724e-07,0.0103448275862069,0.75,1,1,192529,NA
"355",1.947758e-07,4e-07,0.0103448275862069,0.75,1,1,192529,NA
"356",0.166666666666667,4e-07,0.0103448275862069,0.75,1,1,192529,NA
"357",0.75,4e-07,0.0103448275862069,0.75,1,1,192529,NA
"358",1,4e-07,0.0103448275862069,0.75,1,1,192529,NA
"359",1,4e-07,0.0103448275862069,0.75,1,1,192529,NA
"360",192529,4e-07,0.0103448275862069,0.75,1,1,192529,NA
"361",1.947758e-07,0,0.0206896551724138,0.75,1,1,192529,NA
"362",0.166666666666667,0,0.0206896551724138,0.75,1,1,192529,NA
"363",0.75,0,0.0206896551724138,0.75,1,1,192529,NA
"364",1,0,0.0206896551724138,0.75,1,1,192529,NA
"365",1,0,0.0206896551724138,0.75,1,1,192529,NA
"366",192529,0,0.0206896551724138,0.75,1,1,192529,NA
"367",1.947758e-07,1.37931034482759e-08,0.0206896551724138,0.75,1,1,192529,NA
"368",0.166666666666667,1.37931034482759e-08,0.0206896551724138,0.75,1,1,192529,NA
