"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"293",0.25,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"294",1,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"295",192529,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"296",3.895517e-07,1e-06,0.0842105263157895,0.25,1,192529,NA
"297",0.5,1e-06,0.0842105263157895,0.25,1,192529,NA
"298",0.25,1e-06,0.0842105263157895,0.25,1,192529,NA
"299",1,1e-06,0.0842105263157895,0.25,1,192529,NA
"300",192529,1e-06,0.0842105263157895,0.25,1,192529,NA
"301",3.895517e-07,0,0.126315789473684,0.25,1,192529,-99.7531296205137
"302",0.5,0,0.126315789473684,0.25,1,192529,-99.7429039671516
"303",0.25,0,0.126315789473684,0.25,1,192529,-99.8382692860205
"304",1,0,0.126315789473684,0.25,1,192529,-99.3162249477598
"305",192529,0,0.126315789473684,0.25,1,192529,-99.9414248853917
"306",3.895517e-07,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-98.1568390361729
"307",0.5,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-98.3738743804382
"308",0.25,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-98.3041183813805
"309",1,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-98.2413248938283
"310",192529,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-97.9208516975557
"311",3.895517e-07,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-98.0537646762074
"312",0.5,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-98.3427348336769
"313",0.25,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-98.5994007260983
"314",1,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-98.1731603425513
"315",192529,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-98.4413693960767
"316",3.895517e-07,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-99.7254710405227
"317",0.5,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-99.6975239097286
"318",0.25,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-100.181630289341
"319",1,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-99.3953288579942
"320",192529,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-99.6468230791994
"321",3.895517e-07,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-102.587185371437
"322",0.5,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-102.186489141026
"323",0.25,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-102.199514794507
"324",1,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-102.205527898284
"325",192529,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-102.562967445113
"326",3.895517e-07,2.63157894736842e-07,0.126315789473684,0.25,1,192529,NA
"327",0.5,2.63157894736842e-07,0.126315789473684,0.25,1,192529,NA
"328",0.25,2.63157894736842e-07,0.126315789473684,0.25,1,192529,NA
"329",1,2.63157894736842e-07,0.126315789473684,0.25,1,192529,-105.218277239775
"330",192529,2.63157894736842e-07,0.126315789473684,0.25,1,192529,NA
"331",3.895517e-07,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"332",0.5,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"333",0.25,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"334",1,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"335",192529,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"336",3.895517e-07,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"337",0.5,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"338",0.25,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"339",1,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"340",192529,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"341",3.895517e-07,4.21052631578947e-07,0.126315789473684,0.25,1,192529,NA
